tools	ploidy_het_cov	ploidy_het	ploidy	heterozygosityRates	coverage	accuracy	error rate	missing rate	reads accuracy rate	nHaplotigs per haplotype	nHaplotigs	nHaplotypes	time	RSS	VMS
flopp	(3,0.05,20X)	(3,0.05)	3	0.05	20	60.27	29.76	9.97	36.82	1	51	51	33.99827507	1213992960 	2678751232 
flopp	(3,0.1,10X)	(3,0.1)	3	0.1	10	69.82	26.27	3.91	25.94	1	51	51	15.39081635	478121984 	1646657536 
flopp	(3,0.1,20X)	(3,0.1)	3	0.1	20	67.51	22.81	9.68	40.62	1	51	51	36.18826075	1330159616 	2674868224 
flopp	(3,0.5,10X)	(3,0.5)	3	0.5	10	74.14	19.22	6.64	42.82	1	51	51	18.62741906	639705088 	1784487936 
flopp	(3,0.5,20X)	(3,0.5)	3	0.5	20	82.12	16.94	0.95	30.65	1	51	51	46.14027163	1506713600 	2931130368 
flopp	(3,1,10X)	(3,1)	3	1	10	71.5	20.97	7.53	36.25	1	51	51	25.23915818	786608128 	1904734208 
flopp	(3,1,20X)	(3,1)	3	1	20	76.36	19.8	3.84	47.15	1	51	51	66.88755766	1819164672 	3179057152 
flopp	(4,0.05,10X)	(4,0.05)	4	0.05	10	56.17	26.84	16.98	24.22	1	68	68	19.69631822	845090816 	2179092480 
flopp	(4,0.05,20X)	(4,0.05)	4	0.05	20	58.35	24.78	16.87	26.07	1	68	68	49.35521322	2474635264 	4680720384 
flopp	(4,0.1,10X)	(4,0.1)	4	0.1	10	64.92	26.08	8.99	27.77	1	68	68	21.98507715	824086528 	2199269376 
flopp	(4,0.1,20X)	(4,0.1)	4	0.1	20	63.27	24.15	12.58	26.78	1	68	68	77.92864013	1503547392 	2967543808 
flopp	(4,0.5,10X)	(4,0.5)	4	0.5	10	66.42	23.24	10.34	30.71	1	68	68	29.62484098	1044279296 	2332782592 
flopp	(4,0.5,20X)	(4,0.5)	4	0.5	20	67.9	21.03	11.07	27.33	1	68	68	77.92055725	2404651008 	4172029952 
flopp	(4,1,10X)	(4,1)	4	1	10	67.05	21.42	11.53	23.03	1	68	68	37.28217128	1234554880 	2503802880 
flopp	(4,1,20X)	(4,1)	4	1	20	69.01	19.99	11	23.04	1	68	68	103.1389689	2614263808 	4369711104 
